"time";"ft";"r Pr3.Vt";"i Pr3.Vt"
2.606e-07;1e+07;-0.750595;0
2.609e-07;1e+07;-0.77013;0
2.612e-07;1e+07;-0.789412;0
2.615e-07;1e+07;-0.808401;0
2.618e-07;1e+07;-0.827063;0
2.621e-07;1e+07;-0.845373;0
2.624e-07;1e+07;-0.863307;0
2.627e-07;1e+07;-0.880852;0
2.63e-07;1e+07;-0.897996;0
2.633e-07;1e+07;-0.914737;0
2.636e-07;1e+07;-0.931074;0
2.639e-07;1e+07;-0.947011;0
2.642e-07;1e+07;-0.962555;0
2.645e-07;1e+07;-0.977711;0
2.648e-07;1e+07;-0.99249;0
2.651e-07;1e+07;-1.0069;0
2.654e-07;1e+07;-1.02095;0
2.657e-07;1e+07;-1.03464;0
2.66e-07;1e+07;-1.04798;0
2.663e-07;1e+07;-1.06098;0
2.666e-07;1e+07;-1.07363;0
2.669e-07;1e+07;-1.08593;0
2.672e-07;1e+07;-1.09788;0
2.675e-07;1e+07;-1.10947;0
2.678e-07;1e+07;-1.12071;0
2.681e-07;1e+07;-1.13157;0
2.684e-07;1e+07;-1.14206;0
2.687e-07;1e+07;-1.15217;0
2.69e-07;1e+07;-1.16188;0
2.693e-07;1e+07;-1.17119;0
2.696e-07;1e+07;-1.18009;0
2.699e-07;1e+07;-1.18857;0
2.702e-07;1e+07;-1.19663;0
2.705e-07;1e+07;-1.20427;0
2.708e-07;1e+07;-1.21147;0
2.711e-07;1e+07;-1.21823;0
2.714e-07;1e+07;-1.22455;0
2.717e-07;1e+07;-1.23044;0
2.72e-07;1e+07;-1.23587;0
2.723e-07;1e+07;-1.24087;0
2.726e-07;1e+07;-1.24542;0
2.729e-07;1e+07;-1.24952;0
2.732e-07;1e+07;-1.25318;0
2.735e-07;1e+07;-1.2564;0
2.738e-07;1e+07;-1.25918;0
2.741e-07;1e+07;-1.26151;0
2.744e-07;1e+07;-1.2634;0
2.747e-07;1e+07;-1.26485;0
2.75e-07;1e+07;-1.26585;0
2.753e-07;1e+07;-1.26642;0
2.756e-07;1e+07;-1.26654;0
2.759e-07;1e+07;-1.26622;0
2.762e-07;1e+07;-1.26546;0
2.765e-07;1e+07;-1.26426;0
2.768e-07;1e+07;-1.26262;0
2.771e-07;1e+07;-1.26053;0
2.774e-07;1e+07;-1.258;0
2.777e-07;1e+07;-1.25504;0
2.78e-07;1e+07;-1.25163;0
2.783e-07;1e+07;-1.24778;0
2.786e-07;1e+07;-1.24349;0
2.789e-07;1e+07;-1.23876;0
2.792e-07;1e+07;-1.2336;0
2.795e-07;1e+07;-1.228;0
2.798e-07;1e+07;-1.22197;0
2.801e-07;1e+07;-1.21551;0
2.804e-07;1e+07;-1.20861;0
2.807e-07;1e+07;-1.2013;0
2.81e-07;1e+07;-1.19356;0
2.813e-07;1e+07;-1.18539;0
2.816e-07;1e+07;-1.17682;0
2.819e-07;1e+07;-1.16782;0
2.822e-07;1e+07;-1.15842;0
2.825e-07;1e+07;-1.14861;0
2.828e-07;1e+07;-1.1384;0
2.831e-07;1e+07;-1.12778;0
2.834e-07;1e+07;-1.11677;0
2.837e-07;1e+07;-1.10537;0
2.84e-07;1e+07;-1.09358;0
2.843e-07;1e+07;-1.08141;0
2.846e-07;1e+07;-1.06886;0
2.849e-07;1e+07;-1.05594;0
2.852e-07;1e+07;-1.04264;0
2.855e-07;1e+07;-1.02898;0
2.858e-07;1e+07;-1.01496;0
2.861e-07;1e+07;-1.00058;0
2.864e-07;1e+07;-0.98585;0
2.867e-07;1e+07;-0.970775;0
2.87e-07;1e+07;-0.955361;0
2.873e-07;1e+07;-0.939612;0
2.876e-07;1e+07;-0.923533;0
2.879e-07;1e+07;-0.907132;0
2.882e-07;1e+07;-0.890412;0
2.885e-07;1e+07;-0.873381;0
2.888e-07;1e+07;-0.856045;0
2.891e-07;1e+07;-0.838409;0
2.894e-07;1e+07;-0.820481;0
2.897e-07;1e+07;-0.802266;0
2.9e-07;1e+07;-0.783771;0
2.903e-07;1e+07;-0.765003;0
2.906e-07;1e+07;-0.745969;0
2.909e-07;1e+07;-0.726674;0
2.912e-07;1e+07;-0.707128;0
2.915e-07;1e+07;-0.687336;0
2.918e-07;1e+07;-0.667305;0
2.921e-07;1e+07;-0.647044;0
2.924e-07;1e+07;-0.626558;0
2.927e-07;1e+07;-0.605857;0
2.93e-07;1e+07;-0.584947;0
2.933e-07;1e+07;-0.563835;0
2.936e-07;1e+07;-0.54253;0
2.939e-07;1e+07;-0.521039;0
2.942e-07;1e+07;-0.499371;0
2.945e-07;1e+07;-0.477532;0
2.948e-07;1e+07;-0.455532;0
2.951e-07;1e+07;-0.433378;0
2.954e-07;1e+07;-0.411079;0
2.957e-07;1e+07;-0.388643;0
2.96e-07;1e+07;-0.366078;0
2.963e-07;1e+07;-0.343393;0
2.966e-07;1e+07;-0.320597;0
2.969e-07;1e+07;-0.297699;0
2.972e-07;1e+07;-0.274706;0
2.975e-07;1e+07;-0.25163;0
2.978e-07;1e+07;-0.228478;0
2.981e-07;1e+07;-0.205258;0
2.984e-07;1e+07;-0.181981;0
2.987e-07;1e+07;-0.158652;0
2.99e-07;1e+07;-0.135276;0
2.993e-07;1e+07;-0.111856;0
2.996e-07;1e+07;-0.0883832;0
2.999e-07;1e+07;-0.0648436;0
3.002e-07;1e+07;-0.04121;0
3.005e-07;1e+07;-0.0174469;0
3.008e-07;1e+07;0.00648202;0
3.011e-07;1e+07;0.0306042;0
3.014e-07;1e+07;0.0549303;0
3.017e-07;1e+07;0.07945;0
3.02e-07;1e+07;0.104133;0
3.023e-07;1e+07;0.128933;0
3.026e-07;1e+07;0.153789;0
3.029e-07;1e+07;0.178635;0
3.032e-07;1e+07;0.203397;0
3.035e-07;1e+07;0.228001;0
3.038e-07;1e+07;0.252375;0
